Row Labels,Count of Aboard,Count of cn/ln,Count of Aboard Passangers,Count of Aboard Crew,Count of Fatalities,Count of Fatalities Passangers,Count of Fatalities Crew
5/28/1935,1,1,1,1,1,1,1
5/29/1935,1,0,1,1,1,1,1
6/24/1935,1,1,1,1,1,1,1
7/14/1935,1,1,1,1,1,1,1
7/19/1935,1,0,1,1,1,1,1
7/20/1935,1,1,1,1,1,1,1
7/23/1935,1,1,1,1,1,1,1
7/28/1935,1,1,1,1,1,1,1
8/7/1935,1,1,1,1,1,1,1
8/13/1935,1,0,1,1,1,1,1
8/14/1935,1,1,1,1,1,1,1
8/15/1935,2,2,2,2,2,2,2
9/1/1935,1,1,1,1,1,1,1
9/13/1935,1,0,1,1,1,1,1
10/2/1935,1,1,1,1,1,1,1
10/7/1935,1,1,1,1,1,1,1
10/9/1935,1,1,1,1,1,1,1
10/21/1935,1,1,1,1,1,1,1
10/30/1935,1,1,1,1,1,1,1
11/2/1935,1,1,1,1,1,1,1
11/9/1935,2,2,2,2,2,2,2
11/11/1935,1,1,1,1,1,1,1
12/4/1935,1,1,1,1,1,1,1
12/10/1935,1,1,1,1,1,1,1
12/24/1935,1,1,1,1,1,1,1
12/31/1935,1,1,1,1,1,1,1
1/14/1936,2,1,2,2,2,2,2
1/17/1936,1,1,1,1,1,1,1
1/21/1936,1,1,1,1,1,1,1
1/29/1936,1,1,1,1,1,1,1
2/10/1936,1,1,1,1,1,1,1
2/15/1936,1,1,1,1,1,1,1
3/5/1936,1,0,1,1,1,1,1
3/14/1936,1,0,1,1,1,1,1
3/26/1936,1,1,1,1,1,1,1
4/1/1936,1,1,1,1,1,1,1
4/7/1936,1,1,1,1,1,1,1
4/11/1936,1,1,1,1,1,1,1
4/15/1936,1,1,1,1,1,1,1
4/17/1936,1,1,1,1,1,1,1
4/21/1936,1,0,1,1,1,1,1
4/30/1936,1,1,1,1,1,1,1
5/16/1936,1,1,1,1,1,1,1
6/9/1936,1,1,1,1,1,1,1
6/13/1936,1,1,1,1,1,1,1
6/16/1936,1,1,1,1,1,1,1
7/15/1936,1,1,1,1,1,1,1
7/28/1936,1,0,1,1,1,1,1
7/31/1936,1,1,1,1,1,1,1
8/2/1936,1,1,1,1,1,1,1
8/3/1936,1,1,1,1,1,1,1
8/5/1936,1,1,1,1,1,1,1
8/6/1936,1,0,1,1,1,1,1
8/12/1936,1,1,1,1,1,1,1
8/22/1936,1,1,1,1,1,1,1
9/5/1936,1,1,1,1,1,1,1
9/25/1936,1,1,1,1,1,1,1
9/28/1936,2,2,2,2,2,2,2
9/29/1936,1,1,1,1,1,1,1
10/6/1936,1,1,1,1,1,1,1
10/9/1936,1,1,1,1,1,1,1
11/1/1936,1,1,1,1,1,1,1
11/17/1936,1,1,1,1,1,1,1
11/19/1936,1,1,1,1,1,1,1
12/4/1936,1,1,1,1,1,1,1
12/6/1936,1,1,1,1,1,1,1
12/7/1936,1,1,1,1,1,1,1
12/9/1936,1,1,1,1,1,1,1
12/15/1936,1,1,1,1,1,1,1
12/18/1936,1,1,1,1,1,1,1
12/19/1936,1,1,1,1,1,1,1
12/23/1936,1,1,1,1,1,1,1
12/26/1936,1,0,1,1,1,1,1
12/27/1936,1,1,1,1,1,1,1
1/11/1937,1,1,1,1,1,1,1
1/12/1937,1,1,1,1,1,1,1
1/26/1937,1,1,1,1,1,1,1
2/9/1937,1,1,1,1,1,1,1
2/19/1937,1,1,1,1,1,1,1
3/12/1937,1,1,1,1,1,1,1
3/24/1937,1,1,1,1,1,1,1
3/25/1937,1,1,1,1,1,1,1
3/26/1937,1,1,1,1,1,1,1
5/6/1937,1,1,1,1,1,1,1
5/20/1937,1,1,1,1,1,1,1
6/2/1937,1,1,1,1,1,1,1
7/2/1937,1,1,1,1,1,1,1
7/28/1937,1,1,1,1,1,1,1
8/2/1937,1,1,1,1,1,1,1
8/3/1937,1,1,1,1,1,1,1
8/6/1937,1,1,1,1,1,1,1
8/8/1937,1,0,1,1,1,1,1
8/10/1937,1,1,1,1,1,1,1
8/23/1937,1,1,1,1,1,1,1
8/27/1937,1,1,1,1,1,1,1
10/1/1937,1,1,1,1,1,1,1
10/6/1937,1,1,1,1,1,1,1
10/17/1937,1,1,1,1,1,1,1
10/26/1937,1,1,1,1,1,1,1
11/12/1937,2,2,2,2,2,2,2
11/16/1937,1,1,1,1,1,1,1
11/26/1937,1,1,1,1,1,1,1
12/4/1937,1,1,1,1,1,1,1
12/5/1937,2,1,2,2,2,2,2
12/8/1937,1,1,1,1,1,1,1
12/24/1937,1,1,1,1,1,1,1
1/4/1938,1,1,1,1,1,1,1
1/10/1938,1,1,1,1,1,1,1
1/11/1938,1,1,1,1,1,1,1
1/12/1938,1,1,1,1,1,1,1
2/2/1938,1,0,1,1,1,1,1
2/5/1938,1,0,1,1,1,1,1
2/9/1938,2,1,2,2,2,2,2
2/13/1938,1,1,1,1,1,1,1
2/22/1938,1,1,1,1,1,1,1
3/1/1938,1,1,1,1,1,1,1
3/7/1938,1,1,1,1,1,1,1
3/8/1938,1,0,1,1,1,1,1
3/23/1938,1,1,1,1,1,1,1
4/30/1938,1,1,1,1,1,1,1
5/5/1938,1,1,1,1,1,1,1
5/10/1938,1,1,1,1,1,1,1
5/16/1938,1,1,1,1,1,1,1
5/22/1938,1,1,1,1,1,1,1
5/24/1938,1,1,1,1,1,1,1
5/27/1938,2,1,2,2,2,2,2
6/8/1938,1,1,1,1,1,1,1
6/19/1938,1,0,1,1,1,1,1
7/8/1938,1,1,1,1,1,1,1
7/14/1938,1,1,1,1,1,1,1
7/19/1938,1,1,1,1,1,1,1
7/22/1938,1,1,1,1,1,1,1
7/27/1938,1,1,1,1,1,1,1
7/29/1938,1,1,1,1,1,1,1
8/10/1938,2,2,2,2,2,2,2
8/12/1938,1,1,1,1,1,1,1
8/13/1938,1,1,1,1,1,1,1
8/15/1938,1,1,1,1,1,1,1
8/18/1938,2,2,2,2,2,2,2
8/24/1938,2,1,2,2,2,2,2
8/29/1938,2,2,2,2,2,2,2
10/1/1938,2,2,2,2,2,2,2
10/10/1938,1,1,1,1,1,1,1
10/25/1938,1,1,1,1,1,1,1
11/2/1938,1,0,1,1,1,1,1
