,DATE,TOTAL_FATALITIES
725,1944-07-23,17.0
726,1944-07-26,26.0
727,1944-07-27,22.0
728,1944-07-31,22.0
729,1944-08-03,28.0
730,1944-08-08,17.0
731,1944-08-12,2.0
732,1944-08-23,3.0
733,1944-08-28,20.0
734,1944-08-29,11.0
735,1944-08-30,18.0
736,1944-09-02,5.0
737,1944-09-07,20.0
738,1944-09-17,13.0
739,1944-09-18,19.0
740,1944-09-21,17.0
741,1944-09-27,9.0
742,1944-10-07,3.0
743,1944-10-10,7.0
744,1944-10-11,1.0
745,1944-10-11,1.0
746,1944-10-16,15.0
747,1944-10-17,1.0
748,1944-10-18,24.0
749,1944-11-04,24.0
750,1944-11-06,17.0
751,1944-11-09,
752,1944-11-10,20.0
753,1944-11-19,25.0
754,1944-11-29,11.0
755,1944-11-29,16.0
756,1944-11-29,10.0
757,1944-11-30,3.0
758,1944-12-01,9.0
759,1944-12-03,5.0
760,1944-12-07,16.0
761,1944-12-15,3.0
762,1945-01-06,4.0
763,1945-01-08,23.0
764,1945-01-10,24.0
765,1945-01-14,4.0
766,1945-01-16,3.0
767,1945-01-23,11.0
768,1945-01-31,10.0
769,1945-02-02,23.0
770,1945-02-06,23.0
771,1945-02-13,24.0
772,1945-02-15,11.0
773,1945-02-23,8.0
774,1945-02-23,13.0
775,1945-02-23,17.0
776,1945-03-27,24.0
777,1945-04-09,3.0
778,1945-04-14,20.0
779,1945-04-19,13.0
780,1945-04-20,25.0
781,1945-04-20,18.0
782,1945-04-21,21.0
783,1945-04-23,31.0
784,1945-04-27,6.0
785,1945-05-05,21.0
786,1945-05-06,30.0
787,1945-05-09,31.0
788,1945-05-13,20.0
789,1945-05-30,21.0
790,1945-06-15,3.0
791,1945-06-24,2.0
792,1945-06-25,27.0
793,1945-06-29,2.0
794,1945-06-30,12.0
795,1945-07-04,15.0
796,1945-07-11,28.0
797,1945-07-12,3.0
798,1945-07-28,3.0
799,1945-08-01,12.0
800,1945-08-03,4.0
801,1945-08-11,16.0
802,1945-09-07,22.0
803,1945-09-11,11.0
804,1945-09-15,23.0
805,1945-09-18,29.0
806,1945-09-28,20.0
807,1945-10-05,2.0
808,1945-10-05,23.0
809,1945-10-07,26.0
810,1945-10-13,31.0
811,1945-10-16,59.0
812,1945-10-20,31.0
813,1945-10-20,25.0
814,1945-10-23,14.0
815,1945-10-24,9.0
816,1945-10-24,5.0
817,1945-10-30,45.0
818,1945-11-01,26.0
819,1945-11-03,44.0
820,1945-11-07,1.0
821,1945-11-08,22.0
822,1945-11-09,24.0
823,1945-11-11,29.0
824,1945-11-11,44.0
825,1945-11-11,20.0
826,1945-11-13,16.0
827,1945-11-15,28.0
828,1945-11-22,27.0
829,1945-12-03,28.0
830,1945-12-05,14.0
831,1945-12-08,17.0
832,1945-12-18,17.0
833,1945-12-25,8.0
834,1945-12-25,10.0
835,1945-12-30,1.0
836,1946-01-06,3.0
837,1946-01-09,18.0
838,1946-01-14,22.0
839,1946-01-15,23.0
840,1946-01-18,17.0
841,1946-01-19,7.0
842,1946-01-30,11.0
843,1946-01-31,21.0
844,1946-02-05,20.0
845,1946-02-21,1.0
846,1946-03-03,27.0
847,1946-03-05,12.0
848,1946-03-10,25.0
849,1946-03-17,20.0
850,1946-03-18,
851,1946-03-19,26.0
852,1946-03-23,10.0
853,1946-04-01,6.0
854,1946-04-05,4.0
855,1946-04-08,14.0
856,1946-04-22,20.0
857,1946-04-30,12.0
858,1946-05-10,28.0
859,1946-05-16,27.0
860,1946-05-22,13.0
861,1946-06-01,30.0
862,1946-06-09,23.0
863,1946-06-09,18.0
